Date,Open,High,Low,Close,Volume
2025-01-24,198.1000,200.9000,198.0000,200.2100,23877521
2025-01-23,198.1400,200.3000,195.2000,197.9800,26951357
2025-01-22,199.0600,200.4800,197.5300,198.3700,26200617
2025-01-21,199.0700,202.2900,197.8700,198.0500,29971292
2025-01-17,196.5300,197.2300,193.7500,196.0000,27735089
2025-01-16,194.1400,195.4800,192.8100,192.9100,17815432
2025-01-15,193.0900,196.3600,191.8600,195.5500,21775969
2025-01-14,191.2400,191.9800,188.3082,189.6600,17174854
2025-01-13,190.0700,191.1800,187.3600,191.0100,21823699
2025-01-10,194.2950,196.5200,190.3100,192.0400,26665206
2025-01-08,192.5700,196.2900,192.3800,193.9500,24864766
2025-01-07,197.1100,201.0000,194.6000,195.4900,26487244
2025-01-06,193.9800,198.2222,193.8500,196.8700,29563638
2025-01-03,191.3700,193.2100,189.9750,191.7900,18596159
2025-01-02,190.6500,192.0000,187.5000,189.4300,20370828
2024-12-31,191.0750,191.9600,188.5100,189.3000,17466919
2024-12-30,189.8000,192.5500,189.1200,191.2400,14264659
2024-12-27,194.9500,195.3200,190.6500,192.7600,18891362
2024-12-26,195.1500,196.7480,194.3750,195.6000,12057210
2024-12-24,194.8400,196.1100,193.7800,196.1100,10403259
2024-12-23,192.6200,195.1000,190.1500,194.6300,25675014
2024-12-20,185.7800,192.8900,185.2200,191.4100,63462934
2024-12-19,191.6250,193.0300,188.3800,188.5100,32265241
2024-12-18,195.2200,197.0000,187.7400,188.4000,34166074
2024-12-17,197.2500,201.4200,194.9800,195.4200,43504025
2024-12-16,192.8700,199.0000,192.6200,196.6600,44934901
2024-12-13,191.0100,192.7300,189.6400,189.8200,25143495
2024-12-12,195.0000,195.1800,191.7100,191.9600,34817486
2024-12-11,185.3100,195.6100,184.8500,195.4000,67894071
2024-12-10,182.8450,186.3600,181.0500,185.1700,54813022
2024-12-09,173.9600,176.2600,173.6500,175.3700,25389631
2024-12-06,172.0300,175.0800,171.8600,174.7100,21462393
2024-12-05,175.3600,176.0600,172.3300,172.6400,21356243
2024-12-04,171.1450,174.9100,171.0600,174.3700,31615137
2024-12-03,171.4900,172.6800,170.8500,171.3400,22248705
2024-12-02,168.7650,172.0750,168.5700,171.4900,23789084
2024-11-29,168.5000,169.4300,167.1600,168.9500,14257244
2024-11-27,169.0000,169.4832,168.0200,169.2300,19266511
2024-11-26,167.6300,169.8200,167.5800,169.1200,20486720
2024-11-25,166.0900,168.6300,165.6072,167.6500,33135263
2024-11-22,165.8500,166.4600,163.9000,164.7600,38604587
2024-11-21,173.9000,174.1300,163.7000,167.6300,59734379
2024-11-20,177.3400,177.6750,173.7800,175.9800,18997111
2024-11-19,173.7200,178.8700,173.5600,178.1200,23434925
2024-11-18,173.4200,175.4380,172.9000,175.3000,20206613
2024-11-15,173.7300,174.1400,171.2200,172.4900,32504649
2024-11-14,178.2800,178.8200,174.3218,175.5800,31007457
2024-11-13,180.4600,180.9600,178.5400,178.8800,23184003
2024-11-12,179.8200,182.4900,179.3900,181.6200,25134905
2024-11-11,178.5800,180.5450,178.4700,180.3500,17450354
2024-11-08,180.6450,180.9000,178.0800,178.3500,22006182
2024-11-07,177.4100,181.0800,177.1900,180.7500,25352939
2024-11-06,173.8000,176.9400,173.5000,176.5100,33695538
2024-11-05,169.4300,170.5300,168.8400,169.7400,18242050
2024-11-04,169.9300,170.7300,168.0110,169.2400,21492744
2024-11-01,170.0700,172.3200,168.8800,171.2900,31796477
2024-10-31,173.1300,176.8200,171.0000,171.1100,44768981
2024-10-30,180.6800,182.0200,174.0599,174.4600,68890787
2024-10-29,167.7300,170.3800,167.0896,169.6800,42169025
2024-10-28,168.7500,168.7500,163.9500,166.7200,32138641
2024-10-25,163.6700,165.5900,163.4200,165.2700,19828884
2024-10-24,162.8300,163.3300,161.0100,162.7200,22412527
2024-10-23,164.7600,165.8200,161.9250,162.7800,18280518
2024-10-22,162.9800,165.7700,162.9800,165.1400,16568121
2024-10-21,162.9500,164.5000,162.6200,164.0700,20946455
2024-10-18,163.1900,164.7100,163.0800,163.4200,19757661
2024-10-17,165.7300,166.3700,162.7600,162.9300,21453395
2024-10-16,164.5300,165.8000,163.7400,165.1600,16406030
2024-10-15,165.7850,167.6800,164.6250,165.4600,20247195
2024-10-14,163.6400,166.2260,163.4000,164.9600,19016141
2024-10-11,162.1300,163.9000,161.2350,163.2400,15344251
2024-10-10,160.8700,163.0700,160.3950,162.0800,14144068
2024-10-09,163.4500,164.8400,159.7400,161.8600,31181774
2024-10-08,163.9400,164.7250,162.8700,164.3800,23072733
2024-10-07,167.7200,168.4800,162.7500,162.9800,22463140
2024-10-04,168.0600,168.2300,165.4800,167.0600,19093724
2024-10-03,164.4100,166.6400,163.9230,165.8600,15073101
2024-10-02,166.4200,167.5200,164.7300,165.8600,17760179
2024-10-01,167.6850,169.1600,164.5800,166.9900,28338123
2024-09-30,163.3200,166.1500,163.2600,165.8500,20481303
2024-09-27,162.8100,165.7000,162.6261,163.9500,21101307
2024-09-26,163.6400,164.0800,162.2800,162.7300,20319336
2024-09-25,161.4700,162.8100,161.3000,161.4900,18869199
2024-09-24,163.0300,163.2158,160.6900,162.2900,23332147
2024-09-23,164.3500,165.4900,161.6700,161.8500,24150852
2024-09-20,163.5000,163.7300,162.0600,163.5900,40896438
2024-09-19,163.7100,163.7900,161.3400,162.1400,26587733
2024-09-18,159.8600,160.5000,158.5950,159.8100,23677315
2024-09-17,159.0200,160.5500,158.3750,159.3200,20715612
2024-09-16,157.3100,158.2500,156.6000,158.0600,18379775
2024-09-13,155.4300,158.3800,155.2100,157.4600,29591152
2024-09-12,153.8000,154.8200,152.6500,154.6900,29695048
2024-09-11,149.9200,151.5000,147.5200,151.1600,29607693
2024-09-10,150.4500,151.2700,148.3400,148.6600,31118765
2024-09-09,152.5100,153.4000,147.2150,148.7100,39260451
2024-09-06,157.3000,157.8300,150.5500,150.9200,37912130
2024-09-05,156.3000,159.4500,155.9805,157.2400,18688747
2024-09-04,156.6550,159.0000,155.9616,156.4500,19197458
2024-09-03,161.7200,161.8500,156.4800,157.3600,38945301
2024-08-30,162.6150,163.6600,161.6925,163.3800,22123811
